player,team,positions,matches_with_shot,minutes,shots,open_play_shots,penalty_shots,goals,shots_on_target,xg,non_penalty_xg,penalty_xg,avg_xg_per_shot,avg_non_penalty_xg_per_shot,shot_accuracy,goal_minus_xg,avg_shot_distance,shots_detail
Raphael Dias Belloli,Brazil,Right Wing,3,268,7,7,0,1,5,0.803,0.803,0.0,0.115,0.115,0.714,0.197,21.37,"[{'match_id': 3939991, 'x': 92.0, 'y': 51.3, 'xg': 0.041, 'outcome': 'Goal', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939991, 'x': 97.0, 'y': 52.3, 'xg': 0.052, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939976, 'x': 118.3, 'y': 49.6, 'xg': 0.023, 'outcome': 'Saved', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939976, 'x': 106.4, 'y': 48.5, 'xg': 0.171, 'outcome': 'Saved', 'play_pattern': 'From Counter', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942415, 'x': 90.9, 'y': 50.3, 'xg': 0.036, 'outcome': 'Blocked', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942415, 'x': 103.4, 'y': 44.7, 'xg': 0.378, 'outcome': 'Saved', 'play_pattern': 'From Goal Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942415, 'x': 100.6, 'y': 40.7, 'xg': 0.103, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}]"
Vinícius José Paixão de Oliveira Júnior,Brazil,Left Center Forward; Left Wing,2,258,4,4,0,2,2,0.732,0.732,0.0,0.183,0.183,0.5,1.268,17.98,"[{'match_id': 3939991, 'x': 98.2, 'y': 57.7, 'xg': 0.016, 'outcome': 'Off T', 'play_pattern': 'From Goal Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939983, 'x': 109.7, 'y': 48.2, 'xg': 0.305, 'outcome': 'Goal', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939983, 'x': 114.7, 'y': 32.6, 'xg': 0.312, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939983, 'x': 103.2, 'y': 26.5, 'xg': 0.099, 'outcome': 'Off T', 'play_pattern': 'From Goal Kick', 'body_part': 'Left Foot', 'is_penalty': False}]"
Luis Fernando Díaz Marulanda,Colombia,Left Center Forward; Left Wing,6,515,9,8,1,2,5,1.432,0.649,0.783,0.159,0.081,0.556,0.568,17.25,"[{'match_id': 3939991, 'x': 101.0, 'y': 28.7, 'xg': 0.139, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939975, 'x': 103.9, 'y': 31.5, 'xg': 0.051, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939975, 'x': 112.1, 'y': 51.4, 'xg': 0.071, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942416, 'x': 97.2, 'y': 39.6, 'xg': 0.153, 'outcome': 'Goal', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3943077, 'x': 98.6, 'y': 25.2, 'xg': 0.03, 'outcome': 'Saved', 'play_pattern': 'From Keeper', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942852, 'x': 105.6, 'y': 27.8, 'xg': 0.03, 'outcome': 'Saved', 'play_pattern': 'From Corner', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939984, 'x': 110.4, 'y': 38.5, 'xg': 0.065, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Other', 'is_penalty': False}, {'match_id': 3939984, 'x': 108.1, 'y': 40.1, 'xg': 0.783, 'outcome': 'Goal', 'play_pattern': 'Other', 'body_part': 'Right Foot', 'is_penalty': True}, {'match_id': 3939984, 'x': 109.7, 'y': 34.3, 'xg': 0.111, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}]"
Ángel Rodrigo Romero Villamayor,Paraguay,Right Wing,1,69,3,3,0,0,1,0.629,0.629,0.0,0.21,0.21,0.333,-0.629,16.19,"[{'match_id': 3939992, 'x': 100.3, 'y': 41.3, 'xg': 0.06, 'outcome': 'Blocked', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939992, 'x': 96.8, 'y': 46.7, 'xg': 0.073, 'outcome': 'Blocked', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939992, 'x': 115.6, 'y': 38.4, 'xg': 0.496, 'outcome': 'Saved', 'play_pattern': 'From Corner', 'body_part': 'Right Foot', 'is_penalty': False}]"
Eric Kleybel Ramírez Matheus,Venezuela,Center Forward; Left Center Forward,2,24,3,3,0,1,2,0.554,0.554,0.0,0.185,0.185,0.667,0.446,20.51,"[{'match_id': 3939987, 'x': 102.7, 'y': 40.2, 'xg': 0.459, 'outcome': 'Goal', 'play_pattern': 'From Counter', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939987, 'x': 101.7, 'y': 29.2, 'xg': 0.042, 'outcome': 'Off T', 'play_pattern': 'From Goal Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939972, 'x': 100.1, 'y': 51.5, 'xg': 0.053, 'outcome': 'Saved', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}]"
Julio César Enciso Espínola,Paraguay,Center Forward; Left Wing; Right Wing,2,259,8,8,0,1,3,0.505,0.505,0.0,0.063,0.063,0.375,0.495,22.37,"[{'match_id': 3939975, 'x': 98.6, 'y': 18.2, 'xg': 0.01, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939975, 'x': 94.4, 'y': 40.4, 'xg': 0.041, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939975, 'x': 100.0, 'y': 21.8, 'xg': 0.018, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939975, 'x': 115.4, 'y': 45.2, 'xg': 0.185, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939992, 'x': 83.6, 'y': 35.5, 'xg': 0.006, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939992, 'x': 89.0, 'y': 28.5, 'xg': 0.015, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939992, 'x': 108.2, 'y': 44.7, 'xg': 0.097, 'outcome': 'Wayward', 'play_pattern': 'Regular Play', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939992, 'x': 113.9, 'y': 38.2, 'xg': 0.134, 'outcome': 'Blocked', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}]"
Gianluca Lapadula Vargas,Peru,Center Forward; Right Center Forward,3,203,8,8,0,0,3,0.5,0.5,0.0,0.063,0.063,0.375,-0.5,28.31,"[{'match_id': 3939970, 'x': 94.2, 'y': 30.6, 'xg': 0.012, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939970, 'x': 110.3, 'y': 44.0, 'xg': 0.263, 'outcome': 'Saved', 'play_pattern': 'From Goal Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939970, 'x': 108.7, 'y': 34.9, 'xg': 0.049, 'outcome': 'Saved', 'play_pattern': 'From Corner', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939986, 'x': 63.9, 'y': 34.8, 'xg': 0.004, 'outcome': 'Off T', 'play_pattern': 'From Goal Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939978, 'x': 100.3, 'y': 53.9, 'xg': 0.038, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939978, 'x': 107.6, 'y': 37.8, 'xg': 0.08, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939978, 'x': 99.7, 'y': 42.0, 'xg': 0.05, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939978, 'x': 60.7, 'y': 60.3, 'xg': 0.004, 'outcome': 'Wayward', 'play_pattern': 'From Counter', 'body_part': 'Left Foot', 'is_penalty': False}]"
Alan Steve Minda García,Ecuador,Right Wing,1,134,1,1,0,1,1,0.471,0.471,0.0,0.471,0.471,1.0,0.529,13.51,"[{'match_id': 3939980, 'x': 110.4, 'y': 30.5, 'xg': 0.471, 'outcome': 'Goal', 'play_pattern': 'From Counter', 'body_part': 'Right Foot', 'is_penalty': False}]"
Alex Adrián Arce Barrios,Paraguay,Center Forward,2,150,5,5,0,0,0,0.438,0.438,0.0,0.088,0.088,0.0,-0.438,31.81,"[{'match_id': 3939975, 'x': 86.7, 'y': 49.1, 'xg': 0.024, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939975, 'x': 114.7, 'y': 41.7, 'xg': 0.364, 'outcome': 'Wayward', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939975, 'x': 94.8, 'y': 35.4, 'xg': 0.022, 'outcome': 'Blocked', 'play_pattern': 'From Counter', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939983, 'x': 97.7, 'y': 31.5, 'xg': 0.025, 'outcome': 'Blocked', 'play_pattern': 'From Keeper', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939983, 'x': 50.9, 'y': 32.5, 'xg': 0.003, 'outcome': 'Wayward', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}]"
Bruno Miranda Villagomez,Bolivia,Center Forward,1,98,1,1,0,1,1,0.425,0.425,0.0,0.425,0.425,1.0,0.575,13.81,"[{'match_id': 3939989, 'x': 108.6, 'y': 32.2, 'xg': 0.425, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}]"
Jeremy Leonel Sarmiento Morante,Ecuador,Left Wing,3,305,5,5,0,1,2,0.327,0.327,0.0,0.065,0.065,0.4,0.673,18.67,"[{'match_id': 3939980, 'x': 98.5, 'y': 32.0, 'xg': 0.052, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939980, 'x': 107.5, 'y': 21.4, 'xg': 0.012, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939980, 'x': 99.5, 'y': 46.7, 'xg': 0.056, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939972, 'x': 104.2, 'y': 39.3, 'xg': 0.088, 'outcome': 'Goal', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942228, 'x': 114.4, 'y': 31.0, 'xg': 0.119, 'outcome': 'Saved', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}]"
Eduard Alexander Bello Gil,Venezuela,Left Wing; Right Wing,3,295,3,3,0,1,2,0.309,0.309,0.0,0.103,0.103,0.667,0.691,15.84,"[{'match_id': 3939987, 'x': 116.3, 'y': 44.8, 'xg': 0.277, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939979, 'x': 95.7, 'y': 55.6, 'xg': 0.022, 'outcome': 'Blocked', 'play_pattern': 'From Goal Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942229, 'x': 117.8, 'y': 27.6, 'xg': 0.01, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}]"
Rafael Santos Borré Amaury,Colombia,Right Wing,1,140,1,1,0,0,0,0.305,0.305,0.0,0.305,0.305,0.0,-0.305,11.27,"[{'match_id': 3939991, 'x': 111.5, 'y': 47.4, 'xg': 0.305, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}]"
José Paolo Guerrero Gonzáles,Peru,Left Center Forward; Right Center Forward,2,108,2,2,0,0,2,0.269,0.269,0.0,0.135,0.135,1.0,-0.269,17.28,"[{'match_id': 3939970, 'x': 117.6, 'y': 35.1, 'xg': 0.229, 'outcome': 'Saved', 'play_pattern': 'From Corner', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939978, 'x': 94.0, 'y': 26.9, 'xg': 0.04, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}]"
Jordy Josué Caicedo Medina,Ecuador,Right Center Forward,1,68,3,2,1,1,1,0.984,0.201,0.783,0.328,0.1,0.333,0.016,11.76,"[{'match_id': 3942228, 'x': 113.3, 'y': 25.3, 'xg': 0.015, 'outcome': 'Off T', 'play_pattern': 'From Counter', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942228, 'x': 113.3, 'y': 37.3, 'xg': 0.186, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3942228, 'x': 108.1, 'y': 40.1, 'xg': 0.783, 'outcome': 'Goal', 'play_pattern': 'Other', 'body_part': 'Right Foot', 'is_penalty': True}]"
Víctor Alejandro Dávila Zavala,Chile,Left Wing; Right Wing,1,234,3,3,0,0,0,0.185,0.185,0.0,0.062,0.062,0.0,-0.185,16.17,"[{'match_id': 3939970, 'x': 104.4, 'y': 47.5, 'xg': 0.074, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939970, 'x': 109.5, 'y': 45.2, 'xg': 0.063, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939970, 'x': 100.6, 'y': 41.8, 'xg': 0.048, 'outcome': 'Blocked', 'play_pattern': 'From Goal Kick', 'body_part': 'Right Foot', 'is_penalty': False}]"
Damián Josué Bobadilla Benítez,Paraguay,Right Wing,1,205,3,3,0,0,3,0.151,0.151,0.0,0.05,0.05,1.0,-0.151,21.88,"[{'match_id': 3939983, 'x': 94.0, 'y': 43.5, 'xg': 0.038, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939983, 'x': 107.4, 'y': 35.1, 'xg': 0.081, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939983, 'x': 94.1, 'y': 40.2, 'xg': 0.032, 'outcome': 'Saved', 'play_pattern': 'From Kick Off', 'body_part': 'Right Foot', 'is_penalty': False}]"
Jhonder Leonel Cádiz Fernández,Venezuela,Left Center Forward; Right Center Forward,2,136,4,3,1,2,2,0.932,0.149,0.783,0.233,0.05,0.5,1.068,17.7,"[{'match_id': 3939972, 'x': 103.3, 'y': 50.0, 'xg': 0.052, 'outcome': 'Goal', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942229, 'x': 98.8, 'y': 37.2, 'xg': 0.055, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942229, 'x': 110.9, 'y': 24.4, 'xg': 0.042, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942229, 'x': 108.1, 'y': 40.1, 'xg': 0.783, 'outcome': 'Goal', 'play_pattern': 'Other', 'body_part': 'Right Foot', 'is_penalty': True}]"
Ray Kendry Páez Andrade,Ecuador,Right Wing,2,307,2,2,0,0,0,0.144,0.144,0.0,0.072,0.072,0.0,-0.144,20.15,"[{'match_id': 3939972, 'x': 99.5, 'y': 49.6, 'xg': 0.081, 'outcome': 'Wayward', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942228, 'x': 102.6, 'y': 37.0, 'xg': 0.064, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}]"
Darwin Daniel Machís Marcano,Venezuela,Right Wing,1,131,3,3,0,0,0,0.135,0.135,0.0,0.045,0.045,0.0,-0.135,22.7,"[{'match_id': 3939972, 'x': 90.9, 'y': 50.1, 'xg': 0.018, 'outcome': 'Blocked', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939972, 'x': 102.8, 'y': 41.1, 'xg': 0.06, 'outcome': 'Off T', 'play_pattern': 'From Counter', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939972, 'x': 100.0, 'y': 41.6, 'xg': 0.058, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}]"
Ramón Sosa Acosta,Paraguay,Left Wing,1,152,3,3,0,1,2,0.135,0.135,0.0,0.045,0.045,0.667,0.865,22.12,"[{'match_id': 3939992, 'x': 94.4, 'y': 46.3, 'xg': 0.032, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939992, 'x': 104.4, 'y': 26.3, 'xg': 0.055, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939992, 'x': 107.6, 'y': 25.3, 'xg': 0.049, 'outcome': 'Saved', 'play_pattern': 'From Counter', 'body_part': 'Left Foot', 'is_penalty': False}]"
Paul Brian Rodríguez Bravo,Uruguay,Right Wing,1,67,1,1,0,0,0,0.134,0.134,0.0,0.134,0.134,0.0,-0.134,14.78,"[{'match_id': 3943076, 'x': 109.3, 'y': 50.2, 'xg': 0.134, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}]"
Alejandro Garnacho Ferreyra,Argentina,Left Wing,1,64,2,2,0,0,0,0.123,0.123,0.0,0.061,0.061,0.0,-0.123,18.96,"[{'match_id': 3939986, 'x': 104.5, 'y': 28.8, 'xg': 0.048, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939986, 'x': 105.3, 'y': 28.3, 'xg': 0.075, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}]"
Endrick Felipe Moreira de Sousa,Brazil,Center Forward; Left Wing,2,178,2,2,0,0,1,0.122,0.122,0.0,0.061,0.061,0.5,-0.122,21.24,"[{'match_id': 3939976, 'x': 103.1, 'y': 43.7, 'xg': 0.076, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942415, 'x': 95.2, 'y': 44.4, 'xg': 0.046, 'outcome': 'Saved', 'play_pattern': 'From Counter', 'body_part': 'Left Foot', 'is_penalty': False}]"
Kevin José Rodríguez Cortez,Ecuador,Center Forward; Left Center Forward; Right Center Forward,3,274,5,5,0,1,1,0.121,0.121,0.0,0.024,0.024,0.2,0.879,19.98,"[{'match_id': 3939980, 'x': 104.6, 'y': 38.4, 'xg': 0.039, 'outcome': 'Blocked', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939980, 'x': 103.3, 'y': 22.5, 'xg': 0.029, 'outcome': 'Off T', 'play_pattern': 'From Keeper', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939980, 'x': 96.7, 'y': 22.6, 'xg': 0.015, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939988, 'x': 114.7, 'y': 23.3, 'xg': 0.009, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942228, 'x': 107.5, 'y': 45.4, 'xg': 0.029, 'outcome': 'Goal', 'play_pattern': 'From Free Kick', 'body_part': 'Head', 'is_penalty': False}]"
Yeferson Julio Soteldo Martínez,Venezuela,Left Wing,1,280,2,2,0,0,1,0.11,0.11,0.0,0.055,0.055,0.5,-0.11,19.1,"[{'match_id': 3939979, 'x': 100.3, 'y': 24.3, 'xg': 0.029, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939979, 'x': 112.2, 'y': 29.6, 'xg': 0.081, 'outcome': 'Saved', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}]"
John Yeboah Zamora,Ecuador,Right Wing,2,145,3,3,0,0,1,0.107,0.107,0.0,0.036,0.036,0.333,-0.107,19.06,"[{'match_id': 3939980, 'x': 113.8, 'y': 54.5, 'xg': 0.016, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939972, 'x': 99.0, 'y': 33.2, 'xg': 0.059, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939972, 'x': 100.7, 'y': 41.0, 'xg': 0.032, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}]"
Enner Remberto Valencia Lastra,Ecuador,Center Forward; Left Center Forward,2,273,4,3,1,0,1,0.889,0.106,0.783,0.222,0.035,0.25,-0.889,22.14,"[{'match_id': 3939988, 'x': 101.8, 'y': 60.9, 'xg': 0.009, 'outcome': 'Saved', 'play_pattern': 'From Goal Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939988, 'x': 97.1, 'y': 42.3, 'xg': 0.051, 'outcome': 'Off T', 'play_pattern': 'From Corner', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939988, 'x': 99.0, 'y': 55.2, 'xg': 0.046, 'outcome': 'Blocked', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942228, 'x': 108.1, 'y': 40.1, 'xg': 0.783, 'outcome': 'Post', 'play_pattern': 'Other', 'body_part': 'Right Foot', 'is_penalty': True}]"
Ben Brereton Díaz,Chile,Center Forward,1,61,2,2,0,0,0,0.079,0.079,0.0,0.04,0.04,0.0,-0.079,16.62,"[{'match_id': 3939970, 'x': 101.2, 'y': 34.0, 'xg': 0.052, 'outcome': 'Blocked', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939970, 'x': 110.1, 'y': 30.8, 'xg': 0.027, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Head', 'is_penalty': False}]"
Miguel Ángel Borja Hernández,Colombia,Left Center Forward; Right Center Forward,2,35,2,1,1,1,1,0.843,0.059,0.783,0.421,0.059,0.5,0.157,14.46,"[{'match_id': 3942416, 'x': 108.0, 'y': 40.0, 'xg': 0.783, 'outcome': 'Goal', 'play_pattern': 'Other', 'body_part': 'Right Foot', 'is_penalty': True}, {'match_id': 3943077, 'x': 108.5, 'y': 27.6, 'xg': 0.059, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}]"
Édison Michael Flores Peralta,Peru,Left Center Forward,2,186,2,2,0,0,0,0.059,0.059,0.0,0.029,0.029,0.0,-0.059,24.42,"[{'match_id': 3939970, 'x': 100.8, 'y': 56.5, 'xg': 0.028, 'outcome': 'Wayward', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939978, 'x': 96.5, 'y': 39.0, 'xg': 0.031, 'outcome': 'Blocked', 'play_pattern': 'From Corner', 'body_part': 'Left Foot', 'is_penalty': False}]"
Jorge Andrés Carrascal Guardo,Colombia,Center Forward,1,63,1,1,0,0,1,0.058,0.058,0.0,0.058,0.058,1.0,-0.058,20.01,"[{'match_id': 3939991, 'x': 105.8, 'y': 54.1, 'xg': 0.058, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}]"
Sávio Moreira de Oliveira,Brazil,Right Wing,1,165,1,1,0,0,0,0.05,0.05,0.0,0.05,0.05,0.0,-0.05,15.84,"[{'match_id': 3939976, 'x': 112.4, 'y': 53.9, 'xg': 0.05, 'outcome': 'Wayward', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}]"
Miguel Ángel Almirón Rejala,Paraguay,Left Wing,1,179,1,1,0,0,1,0.033,0.033,0.0,0.033,0.033,1.0,-0.033,28.0,"[{'match_id': 3939983, 'x': 93.2, 'y': 48.1, 'xg': 0.033, 'outcome': 'Saved', 'play_pattern': 'From Kick Off', 'body_part': 'Left Foot', 'is_penalty': False}]"
Jhon Adolfo Arias Andrade,Colombia,Right Wing,1,493,1,1,0,0,0,0.029,0.029,0.0,0.029,0.029,0.0,-0.029,26.11,"[{'match_id': 3942852, 'x': 97.9, 'y': 53.9, 'xg': 0.029, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}]"
Roberto Carlos Fernández Toro,Bolivia,Left Wing,1,119,1,1,0,0,1,0.027,0.027,0.0,0.027,0.027,1.0,-0.027,28.66,"[{'match_id': 3939974, 'x': 91.5, 'y': 43.0, 'xg': 0.027, 'outcome': 'Saved', 'play_pattern': 'From Goal Kick', 'body_part': 'Left Foot', 'is_penalty': False}]"
Darío Esteban Osorio Osorio,Chile,Right Wing,1,174,1,1,0,0,0,0.023,0.023,0.0,0.023,0.023,0.0,-0.023,25.98,"[{'match_id': 3939970, 'x': 100.1, 'y': 56.7, 'xg': 0.023, 'outcome': 'Blocked', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}]"
Ángel Fabián Di María Hernández,Argentina,Right Wing,1,358,1,1,0,0,1,0.023,0.023,0.0,0.023,0.023,1.0,-0.023,26.49,"[{'match_id': 3939986, 'x': 100.2, 'y': 57.6, 'xg': 0.023, 'outcome': 'Saved', 'play_pattern': 'From Goal Kick', 'body_part': 'Left Foot', 'is_penalty': False}]"
Alexis Alejandro Sánchez Sánchez,Chile,Center Forward,1,256,1,1,0,0,1,0.014,0.014,0.0,0.014,0.014,1.0,-0.014,21.26,"[{'match_id': 3939985, 'x': 107.1, 'y': 56.9, 'xg': 0.014, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}]"
